epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,4743.35,1.36454,0.86605,1.33669,0.90454,0.7985,0.86633,0.54545,1.11244,2.48998,1.13632,0.005644,0.005644,0.005644
68,4813.81,1.36269,0.85974,1.33426,0.90422,0.79836,0.86646,0.54593,1.11197,2.48155,1.1358,0.005578,0.005578,0.005578
69,4884.27,1.35419,0.85689,1.33092,0.90395,0.79866,0.866,0.54592,1.11121,2.46875,1.13488,0.005512,0.005512,0.005512
70,4954.65,1.36029,0.86063,1.33351,0.90513,0.79818,0.86649,0.54595,1.11101,2.45544,1.1346,0.005446,0.005446,0.005446
71,5025.23,1.36044,0.85058,1.33204,0.90671,0.79699,0.86667,0.54596,1.111,2.4478,1.13425,0.00538,0.00538,0.00538
72,5095.72,1.35334,0.85547,1.32863,0.90778,0.7966,0.86694,0.54629,1.11078,2.44832,1.13404,0.005314,0.005314,0.005314
73,5166.25,1.35234,0.84685,1.32326,0.90601,0.79806,0.86724,0.54635,1.11075,2.44519,1.13376,0.005248,0.005248,0.005248
74,5236.72,1.36132,0.85395,1.33093,0.90552,0.79895,0.86729,0.54688,1.11012,2.4353,1.13314,0.005182,0.005182,0.005182
75,5307.51,1.35526,0.85018,1.32171,0.90644,0.7976,0.8671,0.54661,1.10954,2.43508,1.13228,0.005116,0.005116,0.005116
76,5377.86,1.34922,0.85034,1.32699,0.90612,0.79836,0.86736,0.54681,1.10905,2.43533,1.13187,0.00505,0.00505,0.00505
77,5448.59,1.35265,0.84534,1.32505,0.90662,0.7979,0.86738,0.54726,1.10854,2.43625,1.13133,0.004984,0.004984,0.004984
78,5518.87,1.35761,0.85335,1.32022,0.90718,0.79715,0.86758,0.54726,1.10809,2.4212,1.13072,0.004918,0.004918,0.004918
79,5589.16,1.34397,0.85106,1.31796,0.90607,0.79821,0.86779,0.54753,1.10758,2.42097,1.12993,0.004852,0.004852,0.004852
80,5659.76,1.34572,0.83736,1.31829,0.90576,0.8012,0.86827,0.54788,1.10693,2.42081,1.1293,0.004786,0.004786,0.004786
81,5730.19,1.35207,0.84415,1.32335,0.90441,0.8016,0.86807,0.54809,1.10666,2.42122,1.1289,0.00472,0.00472,0.00472
82,5800.64,1.3449,0.84527,1.31841,0.90352,0.80292,0.86846,0.54842,1.10623,2.40936,1.12792,0.004654,0.004654,0.004654
83,5871.05,1.33942,0.83298,1.31699,0.90422,0.80276,0.86819,0.5488,1.10593,2.40017,1.12768,0.004588,0.004588,0.004588
84,5941.57,1.3417,0.83798,1.30913,0.90472,0.80307,0.86899,0.54883,1.10547,2.39288,1.12661,0.004522,0.004522,0.004522
85,6012.27,1.34663,0.83414,1.31366,0.90504,0.80322,0.86904,0.54879,1.10524,2.36805,1.12591,0.004456,0.004456,0.004456
86,6082.63,1.3354,0.83007,1.30951,0.90479,0.80371,0.86926,0.54878,1.10488,2.35332,1.12562,0.00439,0.00439,0.00439
87,6153.32,1.34396,0.83317,1.31494,0.90596,0.80308,0.8691,0.54916,1.10479,2.32737,1.12545,0.004324,0.004324,0.004324
88,6223.76,1.33856,0.83231,1.3131,0.90706,0.8017,0.86923,0.54973,1.10456,2.32837,1.12536,0.004258,0.004258,0.004258
89,6294.44,1.33804,0.82516,1.30236,0.9077,0.80337,0.86992,0.54992,1.10427,2.32367,1.12489,0.004192,0.004192,0.004192
90,6364.86,1.33382,0.82608,1.30992,0.90734,0.8044,0.87022,0.55,1.10408,2.31542,1.12445,0.004126,0.004126,0.004126
91,6435.23,1.33766,0.82567,1.30839,0.90769,0.80367,0.87011,0.55016,1.10341,2.28758,1.12366,0.00406,0.00406,0.00406
92,6505.78,1.33914,0.82616,1.30513,0.90745,0.80428,0.87088,0.55045,1.10301,2.27888,1.12356,0.003994,0.003994,0.003994
93,6576.41,1.33135,0.81368,1.29993,0.90731,0.80555,0.871,0.55076,1.10286,2.27077,1.12343,0.003928,0.003928,0.003928
94,6646.87,1.32517,0.81636,1.29923,0.90778,0.8041,0.87087,0.55112,1.1025,2.26898,1.12282,0.003862,0.003862,0.003862
95,6717.19,1.32947,0.81727,1.30475,0.90918,0.80408,0.8711,0.55091,1.10236,2.25489,1.12228,0.003796,0.003796,0.003796
96,6787.91,1.32678,0.81496,1.3001,0.90802,0.80398,0.87118,0.55136,1.10211,2.25163,1.1218,0.00373,0.00373,0.00373
97,6858.38,1.33004,0.81528,1.29561,0.90838,0.80459,0.87157,0.55149,1.10189,2.24622,1.12139,0.003664,0.003664,0.003664
98,6928.8,1.31995,0.81281,1.29388,0.9089,0.80439,0.87219,0.55197,1.1019,2.24666,1.121,0.003598,0.003598,0.003598
99,6999.71,1.33663,0.81947,1.3004,0.90995,0.80397,0.87202,0.55183,1.10167,2.25237,1.12029,0.003532,0.003532,0.003532
100,7070.46,1.32964,0.81768,1.29852,0.91011,0.80367,0.87221,0.55201,1.10124,2.25122,1.12003,0.003466,0.003466,0.003466
101,7141.2,1.32783,0.81485,1.29537,0.91109,0.8044,0.87264,0.55214,1.10077,2.23466,1.11931,0.0034,0.0034,0.0034
102,7211.51,1.32835,0.81214,1.29712,0.91222,0.80352,0.87282,0.55225,1.10054,2.23179,1.11886,0.003334,0.003334,0.003334
103,7281.81,1.32206,0.80005,1.2926,0.91284,0.80352,0.87291,0.5523,1.10022,2.22853,1.11838,0.003268,0.003268,0.003268
104,7352.64,1.32781,0.8068,1.29305,0.91305,0.80337,0.87292,0.55242,1.10032,2.21628,1.11825,0.003202,0.003202,0.003202
105,7423.35,1.32098,0.80634,1.29182,0.91377,0.80307,0.87274,0.55257,1.10006,2.19904,1.11774,0.003136,0.003136,0.003136
106,7493.65,1.33717,0.81269,1.30091,0.9148,0.80373,0.87326,0.55276,1.09995,2.18006,1.1176,0.00307,0.00307,0.00307
107,7563.98,1.32019,0.80772,1.29278,0.91448,0.80352,0.87318,0.55315,1.09969,2.18052,1.11704,0.003004,0.003004,0.003004
108,7634.53,1.31875,0.80027,1.28462,0.91497,0.8022,0.87331,0.55348,1.09944,2.17478,1.1164,0.002938,0.002938,0.002938
109,7705.09,1.31555,0.79938,1.28683,0.91299,0.80474,0.87336,0.55339,1.09919,2.15966,1.11588,0.002872,0.002872,0.002872
110,7775.6,1.32184,0.80236,1.28862,0.9126,0.80489,0.87359,0.55375,1.09877,2.14231,1.11529,0.002806,0.002806,0.002806
111,7846.09,1.31168,0.79296,1.28843,0.91324,0.80504,0.87374,0.55376,1.09853,2.13691,1.11471,0.00274,0.00274,0.00274
112,7916.6,1.3155,0.79741,1.28077,0.91389,0.80489,0.87385,0.55378,1.09838,2.12888,1.11428,0.002674,0.002674,0.002674
113,7987.04,1.31405,0.79003,1.28448,0.91371,0.80474,0.87426,0.55415,1.09822,2.12235,1.11419,0.002608,0.002608,0.002608
114,8057.56,1.30986,0.79076,1.27978,0.91338,0.80489,0.87406,0.55444,1.09751,2.11071,1.1135,0.002542,0.002542,0.002542
115,8128.03,1.31618,0.79319,1.2857,0.91403,0.80474,0.87442,0.55449,1.09765,2.09476,1.11341,0.002476,0.002476,0.002476
116,8198.4,1.30658,0.79555,1.28203,0.91214,0.80504,0.87449,0.55469,1.09736,2.08728,1.113,0.00241,0.00241,0.00241
117,8268.7,1.30379,0.7901,1.27831,0.9122,0.80454,0.87442,0.55499,1.09709,2.07734,1.11264,0.002344,0.002344,0.002344
118,8339.27,1.312,0.79222,1.27767,0.91248,0.80417,0.87446,0.55491,1.09695,2.05818,1.11218,0.002278,0.002278,0.002278
119,8409.81,1.31015,0.78494,1.28054,0.91297,0.80433,0.87476,0.55534,1.09687,2.03576,1.11177,0.002212,0.002212,0.002212
120,8480.43,1.31237,0.7909,1.28026,0.91352,0.80474,0.87498,0.55548,1.09663,2.02642,1.11134,0.002146,0.002146,0.002146
121,8550.88,1.30393,0.78085,1.27505,0.91363,0.80459,0.87494,0.55582,1.09633,2.01331,1.11054,0.00208,0.00208,0.00208
122,8621.33,1.30295,0.77767,1.27627,0.91122,0.80568,0.8751,0.55592,1.09635,1.99661,1.11023,0.002014,0.002014,0.002014
123,8691.75,1.30953,0.78401,1.27617,0.91531,0.8041,0.87545,0.55632,1.09603,1.98917,1.10981,0.001948,0.001948,0.001948
124,8762.06,1.30844,0.78355,1.27584,0.9126,0.80534,0.87546,0.5565,1.09569,1.97832,1.10947,0.001882,0.001882,0.001882
125,8832.72,1.29856,0.77402,1.2681,0.91228,0.80534,0.87562,0.55669,1.0955,1.96297,1.10926,0.001816,0.001816,0.001816
126,8903.06,1.29953,0.77343,1.27673,0.91419,0.80489,0.87581,0.55709,1.09534,1.95097,1.10894,0.00175,0.00175,0.00175
127,8973.45,1.29538,0.77625,1.26852,0.91335,0.80504,0.87595,0.55699,1.09512,1.93864,1.10863,0.001684,0.001684,0.001684
128,9044.06,1.29973,0.7839,1.27577,0.91369,0.80489,0.87614,0.55714,1.09472,1.93062,1.10825,0.001618,0.001618,0.001618
129,9114.51,1.29265,0.77399,1.27041,0.91414,0.80509,0.87616,0.55727,1.09443,1.9241,1.10792,0.001552,0.001552,0.001552
130,9185.25,1.29622,0.7703,1.26427,0.91099,0.80686,0.87636,0.55745,1.09426,1.92085,1.10756,0.001486,0.001486,0.001486
131,9255.7,1.29608,0.77297,1.26889,0.91086,0.80641,0.87621,0.55782,1.09419,1.91011,1.10722,0.00142,0.00142,0.00142
132,9325.96,1.29062,0.76457,1.26504,0.91284,0.80656,0.87664,0.5582,1.09407,1.9022,1.1069,0.001354,0.001354,0.001354
133,9396.52,1.29099,0.76594,1.26603,0.91315,0.80595,0.87669,0.55834,1.09391,1.88812,1.10662,0.001288,0.001288,0.001288
134,9466.86,1.28674,0.76002,1.26128,0.91397,0.80565,0.87667,0.55853,1.09363,1.88068,1.10622,0.001222,0.001222,0.001222
135,9537.37,1.28636,0.76019,1.26123,0.91345,0.80626,0.87681,0.55865,1.09338,1.87085,1.10595,0.001156,0.001156,0.001156
136,9607.79,1.29293,0.76367,1.2667,0.91306,0.8061,0.87705,0.55881,1.09334,1.86158,1.10605,0.00109,0.00109,0.00109
137,9678.02,1.28659,0.75567,1.26092,0.91398,0.80595,0.87687,0.55879,1.09319,1.85376,1.10569,0.001024,0.001024,0.001024
138,9748.5,1.28341,0.75394,1.26064,0.91516,0.8055,0.87714,0.55941,1.09313,1.83764,1.10551,0.000958,0.000958,0.000958
139,9818.94,1.28006,0.74891,1.25768,0.91651,0.80534,0.87736,0.55977,1.09292,1.82263,1.10498,0.000892,0.000892,0.000892
140,9889.54,1.28452,0.75047,1.25782,0.91766,0.80428,0.87739,0.5601,1.09249,1.80921,1.10453,0.000826,0.000826,0.000826
141,9959.38,1.25781,0.67276,1.26877,0.91796,0.80443,0.87757,0.56011,1.09241,1.79394,1.10411,0.00076,0.00076,0.00076
142,10028.2,1.25505,0.66106,1.27047,0.91946,0.80367,0.87772,0.56056,1.09208,1.77671,1.10418,0.000694,0.000694,0.000694
143,10096.9,1.25074,0.66635,1.26536,0.91956,0.8037,0.87788,0.56049,1.09205,1.7559,1.10402,0.000628,0.000628,0.000628
144,10165.9,1.25077,0.66117,1.26129,0.91893,0.8037,0.87839,0.56085,1.09186,1.74196,1.10359,0.000562,0.000562,0.000562
145,10234.7,1.25086,0.66126,1.26223,0.91938,0.80307,0.87854,0.56105,1.09151,1.72928,1.10342,0.000496,0.000496,0.000496
146,10303.7,1.24715,0.66112,1.26536,0.91982,0.80297,0.87833,0.56087,1.09129,1.71347,1.10308,0.00043,0.00043,0.00043
147,10372.6,1.24076,0.65675,1.25872,0.92275,0.80164,0.87854,0.56125,1.09089,1.69613,1.10282,0.000364,0.000364,0.000364
148,10441.5,1.24349,0.65486,1.25795,0.92378,0.8017,0.87872,0.56138,1.09071,1.6843,1.10249,0.000298,0.000298,0.000298
149,10510,1.23857,0.64658,1.25733,0.92438,0.80176,0.87887,0.56162,1.09033,1.67408,1.10202,0.000232,0.000232,0.000232
150,10578.1,1.24062,0.65147,1.25645,0.92057,0.80292,0.87866,0.56175,1.08985,1.66549,1.10164,0.000166,0.000166,0.000166
